date,usage,price
2015-01-01,25385,65.41
2015-01-02,27070,64.02
2015-01-03,25564,66.82
2015-01-04,25254,55.22
2015-01-05,25069,70.77
2015-01-06,23711,71.48
2015-01-07,30518,67.24
2015-01-08,26788,73.73
2015-01-09,27485,67.7
2015-01-10,24899,61.8
2015-01-11,22460,60.35
2015-01-12,27085,60.81
2015-01-13,28033,55.61
2015-01-14,28057,60.23
2015-01-15,27865,49.14
2015-01-16,28342,45.92
2015-01-17,28889,50.65
2015-01-18,27371,54.28
2015-01-19,26865,54.84
2015-01-20,29025,57.6
2015-01-21,29411,70.53
2015-01-22,29755,50.5
2015-01-23,29746,53.63
2015-01-24,30040,58.78
2015-01-25,27877,56.05
2015-01-26,26853,54.33
2015-01-27,28656,61.14
2015-01-28,29096,51.88
2015-01-29,28577,55.27
2015-01-30,28858,30.58
2015-01-31,28724,30.14
2015-02-01,24298,28.02
2015-02-02,26687,56.65
2015-02-03,24402,40.96
2015-02-04,24449,42.65
2015-02-05,22311,37.71
2015-02-06,25777,51.07
2015-02-07,28902,65.89
2015-02-08,25070,63.8
2015-02-09,27209,47.15
2015-02-10,24815,61.16
2015-02-11,22333,60.2
2015-02-12,27229,73.92
2015-02-13,29098,68.9
2015-02-14,28973,52.87
2015-02-15,27038,41.05
2015-02-16,25952,55.76
2015-02-17,27955,48.72
2015-02-18,28328,38.95
2015-02-19,27937,59.22
2015-02-20,28161,58.73
2015-02-21,28183,60.52
2015-02-22,26919,28.01
2015-02-23,25948,37.23
2015-02-24,28105,25.38
2015-02-25,28187,43.03
2015-02-26,28205,45.32
2015-02-27,27464,53.11
2015-02-28,27739,44.8
2015-03-01,27243,47.6
2015-03-02,29071,34.12
2015-03-03,26021,63.49
2015-03-04,22551,55.15
2015-03-05,23212,27.68
2015-03-06,26397,49.65
2015-03-07,29195,58.1
2015-03-08,25996,60.68
2015-03-09,26952,50.24
2015-03-10,24762,57.44
2015-03-11,23837,57.38
2015-03-12,27361,57.81
2015-03-13,26024,47.99
2015-03-14,26196,53.56
2015-03-15,24920,53.84
2015-03-16,24676,61.23
2015-03-17,26722,57.05
2015-03-18,27013,53.39
2015-03-19,26981,46.48
2015-03-20,26406,45.1
2015-03-21,26527,55
2015-03-22,25270,54.44
2015-03-23,25117,64.08
2015-03-24,27089,44.42
2015-03-25,27115,48.94
2015-03-26,27006,50.67
2015-03-27,27277,49.56
2015-03-28,26665,59.79
2015-03-29,24029,49.53
2015-03-30,23928,46.56
2015-03-31,25340,50.4
2015-04-01,26818,37.28
2015-04-02,29735,43.12
2015-04-03,26156,51.81
2015-04-04,22005,54.48
2015-04-05,22918,44.24
2015-04-06,26911,56.16
2015-04-07,29246,55.23
2015-04-08,27967,52.03
2015-04-09,26422,59.76
2015-04-10,22944,64.91
2015-04-11,24576,62.78
2015-04-12,27186,63.79
2015-04-13,23475,52.23
2015-04-14,24815,52
2015-04-15,25292,52.96
2015-04-16,25286,65.82
2015-04-17,25398,65.28
2015-04-18,25230,66.33
2015-04-19,23555,61.06
2015-04-20,22984,68.55
2015-04-21,24837,55.28
2015-04-22,25040,54.49
2015-04-23,25096,70.17
2015-04-24,24580,70.39
2015-04-25,25086,67.87
2015-04-26,23401,52.84
2015-04-27,23262,50.36
2015-04-28,24793,61.58
2015-04-29,24837,70.98
2015-04-30,25216,67.58
2015-05-01,26019,56.22
2015-05-02,29913,63.84
2015-05-03,26571,49.22
2015-05-04,22695,65.53
2015-05-05,25111,36.46
2015-05-06,26573,67.56
2015-05-07,27589,66.04
2015-05-08,28240,45.02
2015-05-09,25516,66.35
2015-05-10,23103,60.15
2015-05-11,24586,65.34
2015-05-12,27449,61.33
2015-05-13,25775,58.53
2015-05-14,26430,62.5
2015-05-15,26377,41.23
2015-05-16,25303,52.24
2015-05-17,23763,42.56
2015-05-18,23568,62.18
2015-05-19,25647,51.97
2015-05-20,25250,51.82
2015-05-21,25115,52.97
2015-05-22,25530,54.18
2015-05-23,25502,49.16
2015-05-24,23785,42.18
2015-05-25,23507,53.72
2015-05-26,25120,59.16
2015-05-27,25625,56.08
2015-05-28,25724,60.22
2015-05-29,26194,59.88
2015-05-30,25662,62.37
2015-05-31,23970,63.02
2015-06-01,26304,62.78
2015-06-02,29977,61.14
2015-06-03,26951,61.92
2015-06-04,22074,64.74
2015-06-05,25080,62.59
2015-06-06,26884,59.47
2015-06-07,28037,58.73
2015-06-08,28503,64.93
2015-06-09,23354,62.75
2015-06-10,24921,65.66
2015-06-11,24708,69.58
2015-06-12,25453,70.31
2015-06-13,25724,68.69
2015-06-14,23465,66.52
2015-06-15,23503,63.39
2015-06-16,24991,61.31
2015-06-17,25550,56.08
2015-06-18,25830,48.8
2015-06-19,26493,51.24
2015-06-20,26825,55.43
2015-06-21,25136,56.03
2015-06-22,25415,67.21
2015-06-23,27170,70.1
2015-06-24,26151,64.03
2015-06-25,26475,68.45
2015-06-26,27539,70.78
2015-06-27,28249,62.15
2015-06-28,26811,64.51
2015-06-29,27449,59.6
2015-06-30,30122,69.21
2015-07-01,25555,68.31
2015-07-02,30477,68.18
2015-07-03,26839,68.28
2015-07-04,23313,68.5
2015-07-05,25244,70.26
2015-07-06,24928,60.17
2015-07-07,30862,70.94
2015-07-08,28682,67.77
2015-07-09,22859,60.07
2015-07-10,24695,70.63
2015-07-11,24630,67.92
2015-07-12,24683,70.11
2015-07-13,28095,70.11
2015-07-14,30405,68.01
2015-07-15,30758,66.97
2015-07-16,30952,70.08
2015-07-17,31197,68.97
2015-07-18,30265,76.21
2015-07-19,27435,76.37
2015-07-20,28166,72.66
2015-07-21,30922,72.49
2015-07-22,31036,71.4
2015-07-23,30695,67.5
2015-07-24,30776,71.84
2015-07-25,29901,56.03
2015-07-26,26689,69.55
2015-07-27,28046,57.19
2015-07-28,30024,68.58
2015-07-29,30585,70.57
2015-07-30,30392,58.55
2015-07-31,28982,62.2
2015-08-01,28222,55.71
2015-08-02,28872,60.5
2015-08-03,24574,69.9
2015-08-04,25138,68.14
2015-08-05,25513,69.34
2015-08-06,25136,68.49
2015-08-07,31221,70.17
2015-08-08,28706,60.29
2015-08-09,24892,52.65
2015-08-10,24409,60.77
2015-08-11,22497,70.87
2015-08-12,25266,68.36
2015-08-13,27854,64.66
2015-08-14,26598,53.32
2015-08-15,25653,58.55
2015-08-16,23421,62.39
2015-08-17,23965,62.96
2015-08-18,25510,56.43
2015-08-19,25458,55.1
2015-08-20,26045,56.59
2015-08-21,26895,67
2015-08-22,26804,68.46
2015-08-23,24806,51.16
2015-08-24,24300,44.01
2015-08-25,25984,69.46
2015-08-26,25998,58.6
2015-08-27,27074,63.11
2015-08-28,27260,66.29
2015-08-29,27612,62.48
2015-08-30,26080,57.85
2015-08-31,25876,65.9
2015-09-01,28457,68.29
2015-09-02,27602,57.5
2015-09-03,23987,56.27
2015-09-04,25538,56.06
2015-09-05,25631,58.7
2015-09-06,26886,63.15
2015-09-07,30936,59.22
2015-09-08,25466,65.84
2015-09-09,25073,67.87
2015-09-10,24376,65.26
2015-09-11,22379,65.4
2015-09-12,24536,57.58
2015-09-13,23698,64.46
2015-09-14,23332,43.94
2015-09-15,24936,59.32
2015-09-16,25187,35.52
2015-09-17,25339,45.18
2015-09-18,24714,61.29
2015-09-19,24816,54.03
2015-09-20,22960,52.48
2015-09-21,22970,64.3
2015-09-22,24988,57.97
2015-09-23,25191,50.32
2015-09-24,25164,55.79
2015-09-25,24957,61.61
2015-09-26,25219,60.01
2015-09-27,23243,56.98
2015-09-28,22815,55.22
2015-09-29,24736,60.02
2015-09-30,24607,56.2
2015-10-01,29160,63.86
2015-10-02,29696,65.27
2015-10-03,25865,59.39
2015-10-04,25497,53.81
2015-10-05,23655,44.43
2015-10-06,26842,42.27
2015-10-07,30571,63.06
2015-10-08,25282,61.31
2015-10-09,25460,59.07
2015-10-10,24356,61.71
2015-10-11,23941,60.24
2015-10-12,26712,55.6
2015-10-13,22330,49.81
2015-10-14,24106,50.1
2015-10-15,24340,52.74
2015-10-16,24363,63.82
2015-10-17,24554,63.46
2015-10-18,22885,56.38
2015-10-19,22620,58.42
2015-10-20,24542,53.44
2015-10-21,24448,49.93
2015-10-22,24486,53.31
2015-10-23,24510,59.22
2015-10-24,24712,60.18
2015-10-25,22745,57.77
2015-10-26,21922,53.1
2015-10-27,24109,51.54
2015-10-28,24207,46.25
2015-10-29,24386,50.28
2015-10-30,24596,56.53
2015-10-31,24537,46.95
2015-11-01,27171,63.39
2015-11-02,29639,42.89
2015-11-03,25921,50.83
2015-11-04,25812,55.06
2015-11-05,23611,56.43
2015-11-06,26883,59.56
2015-11-07,29689,64.79
2015-11-08,27314,53.4
2015-11-09,25485,67.92
2015-11-10,22716,67.05
2015-11-11,24381,67.43
2015-11-12,27101,67.58
2015-11-13,24884,65.2
2015-11-14,24785,55.23
2015-11-15,22864,59.67
2015-11-16,22612,63.66
2015-11-17,24849,63.59
2015-11-18,25090,65.09
2015-11-19,24987,66.19
2015-11-20,25371,64.81
2015-11-21,25736,40.71
2015-11-22,23899,47.09
2015-11-23,23821,58.48
2015-11-24,26527,58.72
2015-11-25,26829,51.7
2015-11-26,26935,48.31
2015-11-27,27024,48.49
2015-11-28,27110,54.87
2015-11-29,25238,58.31
